E_Q9BLI1	ensembl134518/low_complexity	TRASDJ PROTEIN (FRAGMENT).
BTSAT1	Satellite/Centromeric  
drr426	Waterman
IAPEz-int	LTR/ERVK  
drr427	Waterman
drr428	Waterman
drr429	Waterman
PENELOPE	LINE Drosophila virilis Penelope transposable element.
55280..182210	DNA
DMRT1A	LINE/R1 (= Pilger)
DMRT1B	LINE/R1
DMRT1C	LINE/R1
drr430	Waterman
Lx2By	LINE/L1  8% div
drr431	Waterman
drr432	Waterman
drr433	Waterman
drr434	Waterman
drr435	Waterman
DIVER	DNA
drr436	Waterman
drr437	Waterman
drr438	Waterman
drr439	Waterman
HELITRONY1	DNA/Helitron
HELITRONY2	DNA/Helitron
HELITRONY3	DNA/Helitron
HELITRONY4	DNA/Helitron
E_Q963X7	ensembl26543/trans	REVERSE TRANSCRIPTASE (FRAGMENT).
drr440	Waterman
drr441	Waterman
drr442	Waterman
drr443	Waterman
drr444	Waterman
drr445	Waterman
autorepeat_6300	ciona_repeat
drr446	Waterman
autorepeat_6301	ciona_repeat
drr447	Waterman
AC9_ZM	DNA/HAT
autorepeat_6302	ciona_repeat
drr448	Waterman
autorepeat_6303	ciona_repeat
drr449	Waterman
autorepeat_6304	ciona_repeat
Zaphod2	DNA/Tip100  MER91A-C are non-autonomous derivatives and dependents; ~60 (broken) copies left; 26% kimura; full ORF 760-3288; 55% similar to Zaphod protein; gave rise to one human gene (EST 10459804); (MER69 and MER43 are more distant can be named Arthur)  Dec 2001
autorepeat_6305	ciona_repeat
autorepeat_6306	ciona_repeat
autorepeat_6307	ciona_repeat
autorepeat_6308	ciona_repeat
ATCOPIA75_I	LTR/Copia
autorepeat_6309	ciona_repeat
(CAGCG)n	Simple_repeat
(TAAAAA)n	Simple_repeat
URR1A	DNA/MER1_type
URR1B	DNA/MER1_type
ATCOPIA70LTR	LTR/Copia
gi|4099810|gb|U89803.1|AGU89803	DNA
drr450	Waterman
drr451	Waterman
drr452	Waterman
GGREP1	Unknown 18% subst level, occurs in goose
drr453	Waterman
GGREP2	Unknown Subfamilies suggest retroposon
drr454	Waterman
drr455	Waterman
AT9NMU1	DNA/MuDR
autorepeat_6310	ciona_repeat
drr456	Waterman
autorepeat_6311	ciona_repeat
drr457	Waterman
autorepeat_6312	ciona_repeat
drr458	Waterman
autorepeat_6313	ciona_repeat
drr459	Waterman
autorepeat_6314	ciona_repeat
autorepeat_6315	ciona_repeat
autorepeat_6316	ciona_repeat
autorepeat_6317	ciona_repeat
autorepeat_6318	ciona_repeat
autorepeat_6319	ciona_repeat
drr460	Waterman
drr461	Waterman
drr462	Waterman
drr463	Waterman
drr464	Waterman
drr465	Waterman
autorepeat_6320	ciona_repeat
ATCOPIA89LTR	LTR/Copia
drr466	Waterman
autorepeat_6321	ciona_repeat
drr467	Waterman
autorepeat_6322	ciona_repeat
drr468	Waterman
autorepeat_6323	ciona_repeat
drr469	Waterman
autorepeat_6324	ciona_repeat
autorepeat_6325	ciona_repeat
autorepeat_6326	ciona_repeat
autorepeat_6327	ciona_repeat
autorepeat_6328	ciona_repeat
autorepeat_6329	ciona_repeat
E_Q963V2	ensembl3264/trans	REVERSE TRANSCRIPTASE (FRAGMENT).
drr470	Waterman
drr471	Waterman
drr472	Waterman
drr473	Waterman
drr474	Waterman
drr475	Waterman
autorepeat_6330	ciona_repeat
drr476	Waterman
autorepeat_6331	ciona_repeat
drr477	Waterman
autorepeat_6332	ciona_repeat
drr478	Waterman
autorepeat_6333	ciona_repeat
drr479	Waterman
autorepeat_6334	ciona_repeat
autorepeat_6335	ciona_repeat
autorepeat_6336	ciona_repeat
autorepeat_6337	ciona_repeat
autorepeat_6338	ciona_repeat
autorepeat_6339	ciona_repeat
190243..196983	DNA
TEKAYLTR	LTR/Gypsy
(CCTAA)n	Simple_repeat
CarLTR1A	LTR/ERVL (5 bp dups)
CarLTR1B	LTR/ERVL (5 bp dups)
drr480	Waterman
gi|6671102:3303-3503,repeat_region	DNA
drr481	Waterman
drr482	Waterman
drr483	Waterman
drr484	Waterman
drr485	Waterman
(A)n	Simple_repeat
autorepeat_6340	ciona_repeat
drr486	Waterman
autorepeat_6341	ciona_repeat
drr487	Waterman
autorepeat_3000	ciona_repeat
autorepeat_6342	ciona_repeat
drr488	Waterman
autorepeat_3001	ciona_repeat
autorepeat_6343	ciona_repeat
drr489	Waterman
autorepeat_3002	ciona_repeat
autorepeat_6344	ciona_repeat
177708..130922	DNA
autorepeat_3003	ciona_repeat
autorepeat_6345	ciona_repeat
autorepeat_6346	ciona_repeat
autorepeat_3004	ciona_repeat
autorepeat_6347	ciona_repeat
E_O96544	ensembl20162/low_complexity	REVERSE TRANSCRIPTASE (FRAGMENT).
autorepeat_3005	ciona_repeat
autorepeat_6348	ciona_repeat
autorepeat_3006	ciona_repeat
autorepeat_6349	ciona_repeat
autorepeat_3007	ciona_repeat
autorepeat_3008	ciona_repeat
autorepeat_3009	ciona_repeat
DMRSXA	DNA
DMRSXB	DNA
E_Q9ZQQ6	ensembl19122/trans	PUTATIVE NON-LTR RETROELEMENT REVERSE TRANSCRIPTASE.
gi|159636|gb|M35467.1|MSQRTR1P	DNA
drr490	Waterman
drr491	Waterman
drr492	Waterman
drr493	Waterman
drr494	Waterman
drr495	Waterman
autorepeat_6350	ciona_repeat
drr496	Waterman
autorepeat_6351	ciona_repeat
drr497	Waterman
autorepeat_3010	ciona_repeat
autorepeat_6352	ciona_repeat
drr498	Waterman
autorepeat_3011	ciona_repeat
autorepeat_6353	ciona_repeat
drr499	Waterman
TAT1LTR_ATH	LTR/Gypsy 
autorepeat_3012	ciona_repeat
autorepeat_6354	ciona_repeat
autorepeat_6355	ciona_repeat
autorepeat_3013	ciona_repeat
autorepeat_6356	ciona_repeat
GYPSYDR2_LTR	repeat
HARBINGERN3_DR	DNA
autorepeat_3014	ciona_repeat
autorepeat_6357	ciona_repeat
autorepeat_3015	ciona_repeat
autorepeat_6358	ciona_repeat
autorepeat_3016	ciona_repeat
autorepeat_6359	ciona_repeat
autorepeat_3017	ciona_repeat
autorepeat_3018	ciona_repeat
autorepeat_3019	ciona_repeat
DM33463	DNA
DMLINEJA	DNA
autorepeat_5700	ciona_repeat
autorepeat_5701	ciona_repeat
autorepeat_5702	ciona_repeat
autorepeat_5703	ciona_repeat
autorepeat_5704	ciona_repeat
autorepeat_6360	ciona_repeat
autorepeat_5705	ciona_repeat
autorepeat_6361	ciona_repeat
autorepeat_3020	ciona_repeat
autorepeat_5706	ciona_repeat
autorepeat_6362	ciona_repeat
autorepeat_3021	ciona_repeat
autorepeat_5707	ciona_repeat
autorepeat_6363	ciona_repeat
autorepeat_5708	ciona_repeat
autorepeat_6364	ciona_repeat
ATCOPIA69_I	LTR/Copia
autorepeat_3022	ciona_repeat
autorepeat_5709	ciona_repeat
autorepeat_6365	ciona_repeat
autorepeat_3023	ciona_repeat
autorepeat_6366	ciona_repeat
autorepeat_3024	ciona_repeat
autorepeat_6367	ciona_repeat
autorepeat_3025	ciona_repeat
autorepeat_6368	ciona_repeat
E_Q9N4C9	ensembl6581/trans	Y75D11A.4 PROTEIN.
autorepeat_3026	ciona_repeat
autorepeat_6369	ciona_repeat
ROMANIAT5	LTR/Copia
autorepeat_3027	ciona_repeat
autorepeat_3028	ciona_repeat
autorepeat_3029	ciona_repeat
LOR1-int	LTR/ERV1 13% mer4 group
autorepeat_5710	ciona_repeat
autorepeat_5711	ciona_repeat
autorepeat_5712	ciona_repeat
autorepeat_5713	ciona_repeat
autorepeat_5714	ciona_repeat
autorepeat_6370	ciona_repeat
autorepeat_5715	ciona_repeat
autorepeat_6371	ciona_repeat
autorepeat_3030	ciona_repeat
autorepeat_5716	ciona_repeat
autorepeat_6372	ciona_repeat
autorepeat_5717	ciona_repeat
autorepeat_6373	ciona_repeat
autorepeat_3031	ciona_repeat
autorepeat_5718	ciona_repeat
autorepeat_6374	ciona_repeat
autorepeat_3032	ciona_repeat
autorepeat_5719	ciona_repeat
autorepeat_6375	ciona_repeat
autorepeat_3033	ciona_repeat
autorepeat_6376	ciona_repeat
autorepeat_3034	ciona_repeat
autorepeat_6377	ciona_repeat
autorepeat_3035	ciona_repeat
autorepeat_6378	ciona_repeat
autorepeat_3036	ciona_repeat
autorepeat_6379	ciona_repeat
autorepeat_3037	ciona_repeat
autorepeat_3038	ciona_repeat
autorepeat_3039	ciona_repeat
DMDNASMEM	DNA
E_Q19911	ensembl62535/trans	HYPOTHETICAL 72.5 KDA PROTEIN.
MSR1	Satellite
MMVL30	LTR/Retroviral  
LTR39-int	LTR/ERV1 (HERV39)  
autorepeat_5720	ciona_repeat
BILBO	LINE/LOA  Drosophila subobscura non-LTR retrotransposon BILBO.
autorepeat_5721	ciona_repeat
autorepeat_5722	ciona_repeat
ATGP5LTR	LTR/Gypsy 
autorepeat_5723	ciona_repeat
CIN4E_ZM	LINE/L1
autorepeat_5724	ciona_repeat
autorepeat_6380	ciona_repeat
autorepeat_5725	ciona_repeat
autorepeat_6381	ciona_repeat
autorepeat_5726	ciona_repeat
autorepeat_6382	ciona_repeat
HAT1N_DR	DNA
autorepeat_3040	ciona_repeat
autorepeat_5727	ciona_repeat
autorepeat_6383	ciona_repeat
autorepeat_3041	ciona_repeat
autorepeat_5728	ciona_repeat
autorepeat_6384	ciona_repeat
MER101B	LTR/ERV1 mer4 group 20%
autorepeat_3042	ciona_repeat
autorepeat_5729	ciona_repeat
autorepeat_6385	ciona_repeat
autorepeat_3043	ciona_repeat
autorepeat_6386	ciona_repeat
autorepeat_3044	ciona_repeat
autorepeat_6387	ciona_repeat
autorepeat_3045	ciona_repeat
autorepeat_6388	ciona_repeat
autorepeat_3046	ciona_repeat
autorepeat_6389	ciona_repeat
autorepeat_3047	ciona_repeat
LTR10B1	LTR/ERV1 HERVI-LTR 14-17%
autorepeat_3048	ciona_repeat
autorepeat_3049	ciona_repeat
autorepeat_5730	ciona_repeat
autorepeat_5731	ciona_repeat
autorepeat_5732	ciona_repeat
autorepeat_5733	ciona_repeat
autorepeat_5734	ciona_repeat
autorepeat_6390	ciona_repeat
Contig300	WI_ciona_repeat
autorepeat_5735	ciona_repeat
autorepeat_6391	ciona_repeat
Contig301	WI_ciona_repeat
autorepeat_5736	ciona_repeat
autorepeat_6392	ciona_repeat
Contig302	WI_ciona_repeat
autorepeat_3050	ciona_repeat
autorepeat_5737	ciona_repeat
autorepeat_6393	ciona_repeat
Contig303	WI_ciona_repeat
autorepeat_3051	ciona_repeat
autorepeat_5738	ciona_repeat
autorepeat_6394	ciona_repeat
gi|3095149|gb|AF054228.1|AF054228	DNA
Contig304	WI_ciona_repeat
autorepeat_3052	ciona_repeat
autorepeat_5739	ciona_repeat
autorepeat_6395	ciona_repeat
Contig305	WI_ciona_repeat
autorepeat_3053	ciona_repeat
autorepeat_6396	ciona_repeat
Contig306	WI_ciona_repeat
autorepeat_3054	ciona_repeat
autorepeat_6397	ciona_repeat
MT2A	LTR/MaLR
Contig307	WI_ciona_repeat
autorepeat_3055	ciona_repeat
autorepeat_6398	ciona_repeat
MT2B	LTR/MaLR
Contig308	WI_ciona_repeat
autorepeat_3056	ciona_repeat
autorepeat_6399	ciona_repeat
MT2C	LTR/MaLR
autorepeat_3057	ciona_repeat
Contig309	WI_ciona_repeat
autorepeat_3058	ciona_repeat
autorepeat_3059	ciona_repeat
E_Q24335	ensembl12247/low_complexity	REVERSE TRANSCRIPTASE.
autorepeat_5740	ciona_repeat
autorepeat_5741	ciona_repeat
autorepeat_2400	ciona_repeat
autorepeat_5742	ciona_repeat
autorepeat_5743	ciona_repeat
autorepeat_2401	ciona_repeat
autorepeat_5744	ciona_repeat
Contig310	WI_ciona_repeat
autorepeat_2402	ciona_repeat
autorepeat_5745	ciona_repeat
Contig311	WI_ciona_repeat
autorepeat_2403	ciona_repeat
autorepeat_5746	ciona_repeat
MER102a	DNA/MER1_type 23%
Contig312	WI_ciona_repeat
autorepeat_2404	ciona_repeat
autorepeat_3060	ciona_repeat
autorepeat_5747	ciona_repeat
MER102b	DNA/MER1_type 23%
Contig313	WI_ciona_repeat
autorepeat_2405	ciona_repeat
autorepeat_3061	ciona_repeat
autorepeat_5748	ciona_repeat
91ES8_RN	Satellite
Contig314	WI_ciona_repeat
autorepeat_2406	ciona_repeat
autorepeat_3062	ciona_repeat
autorepeat_5749	ciona_repeat
Contig315	WI_ciona_repeat
autorepeat_2407	ciona_repeat
autorepeat_3063	ciona_repeat
ATCOPIA36_I	LTR/Copia
Contig316	WI_ciona_repeat
autorepeat_2408	ciona_repeat
autorepeat_3064	ciona_repeat
MSTA	LTR/MaLR
Contig317	WI_ciona_repeat
autorepeat_2409	ciona_repeat
autorepeat_3065	ciona_repeat
MSTB	LTR/MaLR
autorepeat_3066	ciona_repeat
MSTC	LTR/MaLR
Contig318	WI_ciona_repeat
autorepeat_3067	ciona_repeat
MSTD	LTR/MaLR
Contig319	WI_ciona_repeat
autorepeat_3068	ciona_repeat
autorepeat_3069	ciona_repeat
Leu.TAA	tRNA 
RC35S	Satellite
ATCOPIA55LTR	LTR/Copia
gi|11612469|gb|AF294482.1|AF294482	DNA
Leu.TAG	tRNA 
E_Q04135	ensembl12246/low_complexity	PUTATIVE RNA-DIRECTED DNA POLYMERASE (EC 2.7.7.49) (REVERSE TRANSCRIPTASE) (ORF 2).
MER20B	DNA/MER1_type   25-26%
autorepeat_5750	ciona_repeat
autorepeat_5751	ciona_repeat
autorepeat_5752	ciona_repeat
Bridge1_FR	LINE/Penelope (unchanged)
(CAACT)n	Simple_repeat
autorepeat_2410	ciona_repeat
autorepeat_5753	ciona_repeat
(CCCTA)n	Simple_repeat
autorepeat_2411	ciona_repeat
autorepeat_5754	ciona_repeat
Contig320	WI_ciona_repeat
autorepeat_2412	ciona_repeat
autorepeat_5755	ciona_repeat
Contig321	WI_ciona_repeat
autorepeat_2413	ciona_repeat
autorepeat_5756	ciona_repeat
Contig322	WI_ciona_repeat
autorepeat_2414	ciona_repeat
autorepeat_3070	ciona_repeat
autorepeat_5757	ciona_repeat
MER104A	DNA/Tc2
Contig323	WI_ciona_repeat
autorepeat_2415	ciona_repeat
autorepeat_3071	ciona_repeat
autorepeat_5758	ciona_repeat
MER104B	DNA/Tc2
LINE2E_CE	LINE/CR1
Contig324	WI_ciona_repeat
autorepeat_2416	ciona_repeat
autorepeat_3072	ciona_repeat
autorepeat_5759	ciona_repeat
MER104C	DNA/Tc2
Contig325	WI_ciona_repeat
autorepeat_2417	ciona_repeat
autorepeat_3073	ciona_repeat
MER104D	DNA/MER2_type
Contig326	WI_ciona_repeat
autorepeat_2418	ciona_repeat
autorepeat_3074	ciona_repeat
autorepeat_2419	ciona_repeat
autorepeat_3075	ciona_repeat
Contig327	WI_ciona_repeat
autorepeat_3076	ciona_repeat
Contig328	WI_ciona_repeat
autorepeat_3077	ciona_repeat
Contig329	WI_ciona_repeat
autorepeat_3078	ciona_repeat
autorepeat_3079	ciona_repeat
HER_LINE	LINE/Shark (Scyliorhinus torazame)
E_Q9FWC7	ensembl8505/trans	PUTATIVE PLANT DISEASE RESISTANCE POLYPROTEIN.
MER21A	LTR/ERV1 mer4 group 15%
MER21B	LTR/ERV1 mer4 group 15%
DMSC15JUN	DNA
MER21C	LTR/ERV1
autorepeat_5760	ciona_repeat
autorepeat_5761	ciona_repeat
autorepeat_5762	ciona_repeat
autorepeat_2420	ciona_repeat
autorepeat_5763	ciona_repeat
DMH1H3	DNA
autorepeat_2421	ciona_repeat
autorepeat_5764	ciona_repeat
Contig330	WI_ciona_repeat
autorepeat_2422	ciona_repeat
autorepeat_5765	ciona_repeat
Contig331	WI_ciona_repeat
autorepeat_2423	ciona_repeat
autorepeat_5766	ciona_repeat
Contig332	WI_ciona_repeat
autorepeat_2424	ciona_repeat
autorepeat_3080	ciona_repeat
autorepeat_5767	ciona_repeat
Contig333	WI_ciona_repeat
autorepeat_2425	ciona_repeat
autorepeat_3081	ciona_repeat
autorepeat_5768	ciona_repeat
Contig334	WI_ciona_repeat
autorepeat_2426	ciona_repeat
autorepeat_3082	ciona_repeat
autorepeat_5769	ciona_repeat
Contig335	WI_ciona_repeat
autorepeat_2427	ciona_repeat
autorepeat_3083	ciona_repeat
autorepeat_2428	ciona_repeat
autorepeat_3084	ciona_repeat
Contig336	WI_ciona_repeat
autorepeat_2429	ciona_repeat
autorepeat_3085	ciona_repeat
Contig337	WI_ciona_repeat
autorepeat_3086	ciona_repeat
Contig338	WI_ciona_repeat
autorepeat_3087	ciona_repeat
Contig339	WI_ciona_repeat
autorepeat_3088	ciona_repeat
autorepeat_3089	ciona_repeat
MLT1A0	LTR/MaLR
MLT1A1	LTR/MaLR
MLT1A2	LTR/MaLR
ATHILA4D_LTR	LTR/Gypsy
E_Q9TZS6	ensembl11669/trans	HYPOTHETICAL 31.9 KDA PROTEIN.
(GGAGAA)n	Simple_repeat
CRUISER	DNA
ATDNAI26T9	DNA/MuDR
autorepeat_5770	ciona_repeat
autorepeat_5771	ciona_repeat
autorepeat_5772	ciona_repeat
45770..38016	DNA
autorepeat_2430	ciona_repeat
autorepeat_5773	ciona_repeat
autorepeat_2431	ciona_repeat
autorepeat_5774	ciona_repeat
Contig340	WI_ciona_repeat
autorepeat_2432	ciona_repeat
autorepeat_5775	ciona_repeat
Contig341	WI_ciona_repeat
autorepeat_2433	ciona_repeat
autorepeat_5776	ciona_repeat
Contig342	WI_ciona_repeat
autorepeat_2434	ciona_repeat
autorepeat_3090	ciona_repeat
autorepeat_5777	ciona_repeat
MER106A	DNA/MER1_type  20%
Contig343	WI_ciona_repeat
autorepeat_2435	ciona_repeat
autorepeat_3091	ciona_repeat
autorepeat_5778	ciona_repeat
MER106B	DNA/MER1_type 
Contig344	WI_ciona_repeat
autorepeat_2436	ciona_repeat
autorepeat_3092	ciona_repeat
autorepeat_5779	ciona_repeat
autorepeat_2437	ciona_repeat
autorepeat_3093	ciona_repeat
Contig345	WI_ciona_repeat
autorepeat_2438	ciona_repeat
autorepeat_3094	ciona_repeat
Contig346	WI_ciona_repeat
autorepeat_2439	ciona_repeat
autorepeat_3095	ciona_repeat
Contig347	WI_ciona_repeat
autorepeat_3096	ciona_repeat
Contig348	WI_ciona_repeat
autorepeat_3097	ciona_repeat
Contig349	WI_ciona_repeat
autorepeat_3098	ciona_repeat
autorepeat_3099	ciona_repeat
gi|11612466|gb|AF294479.1|AF294479	DNA
MDG1_LTR	LTR/Gypsy
DMSAT6	Satellite  D.melanogaster satellite repeat DNA sequence.
BEL_I	LTR/PAO
MI167_AT	Other/Centromeric
autorepeat_5780	ciona_repeat
autorepeat_5781	ciona_repeat
autorepeat_5782	ciona_repeat
autorepeat_2440	ciona_repeat
autorepeat_5783	ciona_repeat
autorepeat_2441	ciona_repeat
autorepeat_5784	ciona_repeat
Contig350	WI_ciona_repeat
autorepeat_2442	ciona_repeat
autorepeat_5785	ciona_repeat
Contig351	WI_ciona_repeat
autorepeat_2443	ciona_repeat
autorepeat_5786	ciona_repeat
Contig352	WI_ciona_repeat
autorepeat_2444	ciona_repeat
autorepeat_5787	ciona_repeat
Contig353	WI_ciona_repeat
autorepeat_2445	ciona_repeat
autorepeat_5788	ciona_repeat
autorepeat_2446	ciona_repeat
autorepeat_5789	ciona_repeat
Contig354	WI_ciona_repeat
autorepeat_2447	ciona_repeat
Contig355	WI_ciona_repeat
autorepeat_2448	ciona_repeat
Contig356	WI_ciona_repeat
autorepeat_2449	ciona_repeat
Contig357	WI_ciona_repeat
Contig358	WI_ciona_repeat
Contig359	WI_ciona_repeat
MARINER5_CE	DNA/Mariner
tRNA-Lys-AAA	tRNA
(CTAG)n	Simple_repeat
tRNA-Thr-ACY_	tRNA 
tRNA-Lys-AAG	tRNA
ATCOPIA5LTR	LTR/Copia
autorepeat_5790	ciona_repeat
autorepeat_5791	ciona_repeat
autorepeat_5792	ciona_repeat
autorepeat_2450	ciona_repeat
autorepeat_5793	ciona_repeat
autorepeat_2451	ciona_repeat
autorepeat_5794	ciona_repeat
Contig360	WI_ciona_repeat
autorepeat_2452	ciona_repeat
autorepeat_5795	ciona_repeat
Contig361	WI_ciona_repeat
autorepeat_2453	ciona_repeat
autorepeat_5796	ciona_repeat
Contig362	WI_ciona_repeat
autorepeat_2454	ciona_repeat
autorepeat_5797	ciona_repeat
autorepeat_2455	ciona_repeat
autorepeat_5798	ciona_repeat
Tigger3b	DNA/MER2_type (MER7B)	 15% div
Contig363	WI_ciona_repeat
autorepeat_2456	ciona_repeat
autorepeat_5799	ciona_repeat
Contig364	WI_ciona_repeat
autorepeat_2457	ciona_repeat
Contig365	WI_ciona_repeat
autorepeat_2458	ciona_repeat
Contig366	WI_ciona_repeat
autorepeat_2459	ciona_repeat
E_Q963V9	ensembl24243/trans	REVERSE TRANSCRIPTASE (FRAGMENT).
Contig367	WI_ciona_repeat
Contig368	WI_ciona_repeat
Contig369	WI_ciona_repeat
DMREP1	DNA
SushiiDR1	LTR/Gypsy
LTR43-internal	LTR/Retroviral
L1MD2_5end	LINE/L1
autorepeat_1800	ciona_repeat
autorepeat_1801	ciona_repeat
LOOPERN6_DR	DNA
autorepeat_1802	ciona_repeat
autorepeat_1803	ciona_repeat
autorepeat_1804	ciona_repeat
autorepeat_2460	ciona_repeat
autorepeat_1805	ciona_repeat
autorepeat_2461	ciona_repeat
DMREPG	DNA
Contig370	WI_ciona_repeat
autorepeat_1806	ciona_repeat
autorepeat_2462	ciona_repeat
Contig371	WI_ciona_repeat
autorepeat_1807	ciona_repeat
autorepeat_2463	ciona_repeat
autorepeat_1808	ciona_repeat
autorepeat_2464	ciona_repeat
Contig372	WI_ciona_repeat
autorepeat_1809	ciona_repeat
autorepeat_2465	ciona_repeat
MER4-internal	LTR/MER4-group  
Contig373	WI_ciona_repeat
autorepeat_2466	ciona_repeat
Contig374	WI_ciona_repeat
autorepeat_2467	ciona_repeat
Contig375	WI_ciona_repeat
autorepeat_2468	ciona_repeat
Contig376	WI_ciona_repeat
autorepeat_2469	ciona_repeat
Contig377	WI_ciona_repeat
Contig378	WI_ciona_repeat
Contig379	WI_ciona_repeat
MLT1E1	LTR/MaLR
BLOOD	DNA
MLT1E2	LTR/MaLR
MLT1E3	LTR/MaLR
NDNAX1_CE	DNA?
autorepeat_1810	ciona_repeat
autorepeat_1811	ciona_repeat
autorepeat_1812	ciona_repeat
autorepeat_1813	ciona_repeat
autorepeat_1814	ciona_repeat
autorepeat_2470	ciona_repeat
autorepeat_1815	ciona_repeat
autorepeat_2471	ciona_repeat
Contig380	WI_ciona_repeat
autorepeat_1816	ciona_repeat
autorepeat_2472	ciona_repeat
autorepeat_1817	ciona_repeat
autorepeat_2473	ciona_repeat
Contig381	WI_ciona_repeat
autorepeat_1818	ciona_repeat
autorepeat_2474	ciona_repeat
PALTA1_CE	DNA/Tc1?
Contig382	WI_ciona_repeat
autorepeat_1819	ciona_repeat
autorepeat_2475	ciona_repeat
Contig383	WI_ciona_repeat
autorepeat_2476	ciona_repeat
Contig384	WI_ciona_repeat
autorepeat_2477	ciona_repeat
Contig385	WI_ciona_repeat
autorepeat_2478	ciona_repeat
Contig386	WI_ciona_repeat
autorepeat_2479	ciona_repeat
Contig387	WI_ciona_repeat
Contig388	WI_ciona_repeat
Contig389	WI_ciona_repeat
E_Q95JM3	ensembl63139/trans	HYPOTHETICAL 44.0 KDA PROTEIN.
(CCGAG)n	Simple_repeat
MLT1F1	LTR/MaLR
MLT1F2	LTR/MaLR
E_Q9U997	ensembl17145/low_complexity	REVERSE TRANSCRIPTASE (FRAGMENT).
autorepeat_1820	ciona_repeat
autorepeat_1821	ciona_repeat
autorepeat_1822	ciona_repeat
autorepeat_1823	ciona_repeat
autorepeat_1824	ciona_repeat
autorepeat_2480	ciona_repeat
autorepeat_1825	ciona_repeat
autorepeat_2481	ciona_repeat
ATHILA2_I	LTR/Gypsy
autorepeat_1826	ciona_repeat
autorepeat_2482	ciona_repeat
Contig390	WI_ciona_repeat
autorepeat_1827	ciona_repeat
autorepeat_2483	ciona_repeat
Contig391	WI_ciona_repeat
autorepeat_1828	ciona_repeat
autorepeat_2484	ciona_repeat
Contig392	WI_ciona_repeat
autorepeat_1829	ciona_repeat
autorepeat_2485	ciona_repeat
Contig393	WI_ciona_repeat
autorepeat_2486	ciona_repeat
Contig394	WI_ciona_repeat
autorepeat_2487	ciona_repeat
Contig395	WI_ciona_repeat
autorepeat_2488	ciona_repeat
Contig396	WI_ciona_repeat
autorepeat_2489	ciona_repeat
Contig397	WI_ciona_repeat
Contig398	WI_ciona_repeat
Contig399	WI_ciona_repeat
48139,179527	DNA
E_Q00962	ensembl26198/trans	ENZYMATIC POLYPROTEIN [CONTAINS: ASPARTIC PROTEASE (EC 3.4.23.-); ENDONUCLEASE; REVERSE TRANSCRIPTASE (EC 2.7.7.49)].
MLT1G1	LTR/MaLR
Mariner1a_GG	DNA/Mariner closest match to lacewing mariner U11650;  bp 389-730 not a consensus but from GenBank AP003795; about 360 nucleotides deleted at pos ~388
